text,label,processed_text,token_count
"Kuznetsova Reaches First Grand Slam Semi. NEW YORK (Reuters) - Svetlana Kuznetsova squeezed past fellow Russian Nadia Petrova 7-6, 6-3 at the U.S. Open on Wednesday to reach her first grand slam semi-final.",Sports,kuznetsova reach first grand slam semi new york reuters svetlana kuznetsova squeeze past fellow russian nadia petrova at the open on wednesday to reach her first grand slam semi final,30
"Defense Leaders Faulted by Panel in Prison Abuse. Leadership failures at the highest levels contributed to an environment in which detainees were abused, a panel concluded.",World,defense leader fault by panel in prison abuse leadership failure at the high level contribute to an environment in which detainee be abuse panel conclude,25
Bush's Backers Donate Heavily to Veteran Ads. Swift Boat Veterans for Truth said it had raised $6.7 million in a windfall brought about by its high profile in recent weeks.,World,bush backer donate heavily to veteran ad swift boat veteran for truth say it have raise million in windfall bring about by its high profile in recent week,28
"Boeing, EADS Likely to Make Tanker Bids. The Pentagon will hold a competition to replace its aging fleet of refueling tankers, potentially pitting aerospace giant Boeing Co.",Business,boeing ead likely to make tanker bid the pentagon will hold competition to replace its age fleet of refuel tanker potentially pit aerospace giant boeing co,26
"Driver #39;s license gets new high-tech features. Minnesota will soon begin issuing new driver #39;s licenses that contain high-tech features to curb counterfeiting, as well as a quot;status check quot; that will show a driver #39;s immigration status.",Sci_Tech,driver license get new high tech feature minnesota will soon begin issue new driver license that contain high tech feature to curb counterfeiting as well as status check that will show driver immigration status,34
"Dhaka Rally Attack Kills 14, Injures Hundreds. A grenade attack at a rally for the Awami Union Party in the Bangladeshi capital Dhaka left 14 people dead and more than 300 injured.",World,dhaka rally attack kill injure hundred grenade attack at rally for the awami union party in the bangladeshi capital dhaka leave people dead and more than injure,27
"SGI launches Linux-based visual computer line. Silicon Graphics Inc. (SGI) on Monday will launch the successor line to its Onyx visualization systems. Called Prism, the systems will be based on Intel Corp.'s Itanium 2 processor and the Linux operating system.",Sci_Tech,sgi launches linux base visual computer line silicon graphics inc sgi on monday will launch the successor line to its onyx visualization system call prism the system will be base on intel corp itanium processor and the linux operating system,40
"State Street Research acquired. A historic name in mutual funds will soon vanish from Boston #39;s investing scene, with BlackRock Inc. #39;s agreement yesterday to acquire State Street Research amp; Management",Business,state street research acquire historic name in mutual fund will soon vanish from boston invest scene with blackrock inc agreement yesterday to acquire state street research amp management,28
"Verizon, Qwest Ask Court to Block Rules. Verizon and Qwest asked a federal court to block temporary rules forcing the companies to lease phone lines to rivals for at least another six months. &lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2"" color=""#666666""&gt;&lt;B&gt;-Reuters&lt;/B&gt;&lt;/FONT&gt;",Sci_Tech,verizon qwest ask court to block rule verizon and qwest ask federal court to block temporary rule force the company to lease phone line to rival for at least another six month reuter,33
"AirTran, Southwest seek Midway gates. AirTran and Southwest emerged Thursday as the leading airline bidders for valuable gates at Chicago #39;s Midway Airport, where troubled discounter ATA is selling assets for cash.",Business,airtran southwest seek midway gates airtran and southwest emerge thursday as the lead airline bidder for valuable gate at chicago midway airport where troubled discounter ata be sell asset for cash,31
Arafat #39;s condition improves. An aide to Yasser Arafat said yesterday that the Palestinian leader #39;s condition was improving after treatment by doctors in Paris.,World,arafat condition improve an aide to yasser arafat say yesterday that the palestinian leader condition be improve after treatment by doctor in paris,23
"Adams and Paisley Edge Towards Peace Deal. Gerry Adams shook the hand of Northern Ireland Chief Constable Hugh Orde in Tony Blairs Downing Street office today, as the republican leadership and the Reverend",World,adam and paisley edge towards peace deal gerry adams shake the hand of northern ireland chief constable hugh orde in tony blair downing street office today as the republican leadership and the reverend,33
"WTO hits US with sanctions. The World Trade Organization imposed penalties yesterday on exports ranging from apples to textiles, escalating a trade dispute the Bush administration has tried to defuse by unsuccessfully urging Congress to repeal legislation aimed at protecting US steel makers.",Business,wto hit we with sanction the world trade organization impose penalty yesterday on export range from apple to textile escalate trade dispute the bush administration have try to defuse by unsuccessfully urge congress to repeal legislation aim at protect we steel maker,42
"Williams Claims First Title in 6 Months. BEIJING - Serena Williams erased a match point in the second set and came all the way back to beat U.S. Open champion Svetlana Kuznetsova 4-6, 7-5, 6-4 Sunday at the China Open for her first title in six months...",World,williams claim first title in month beijing serena williams erase match point in the second set and come all the way back to beat open champion svetlana kuznetsova sunday at the china open for her first title in six month,40
"Hurricane season 2004: The year Florida #39;s luck ran out. After dodging hurricanes for a generation, Palm Beach County and the Treasure Coast got what no soothsayer would have dared predict: two storms striking almost the same spot three weeks apart.",Business,hurricane season the year florida luck run out after dodge hurricane for generation palm beach county and the treasure coast get what no soothsayer would have dare predict two storm strike almost the same spot three week apart,38
Trinity streaks to 18th straight win. Junior Josh Pitcher and freshman Chandler Barnard combined to pass for 212 yards and three touchdowns yesterday as Trinity rolled to a 36-14 victory over Tufts in a New England Small College Athletic Conference game in Hartford.,Sports,trinity streak to th straight win junior josh pitcher and freshman chandler barnard combine to pass for yard and three touchdown yesterday as trinity roll to victory over tuft in new england small college athletic conference game in hartford,39
"Navy went to the EV1.net Houston Bowl last year. SAN FRANCISCO -- For only the second time in school history, Navy is going to a bowl in back-to-back seasons. Naval Academy athletic director Chet Gladchuk announced Monday that the team has accepted an invitation",Sports,navy go to the ev net houston bowl last year san francisco for only the second time in school history navy be go to bowl in back to back season naval academy athletic director chet gladchuk announce monday that the team have accept an invitation,45
"Snow Says Strong Dollar #39; Is in America #39;s Interest #39; (Update4). The US supports a strong dollar, #39; #39; Treasury Secretary John Snow said, making his first remarks on the currency since George W. Bush was re-elected president on Nov. 2. We support",Business,snow say strong dollar be in america interest update the us support strong dollar treasury secretary john snow say make his first remark on the currency since george bush be re elect president on nov we support,37
"UPDATE 1-Warburg Pincus to buy 2.75 of Kotak Mahindra Bank. The board of India #39;s Kotak Mahindra Bank Ltd. (KTKM.BO: Quote, Profile, Research) has approved an issue of shares representing a 2.75 percent stake to Warburg Pincus International LLC.",Business,update warburg pincus to buy of kotak mahindra bank the board of india kotak mahindra bank ltd ktkm bo quote profile research have approve an issue of share represent percent stake to warburg pincus international llc,36
"Nintendo #39;s new portable DS a big change from Game Boy. Nintendo believes that when it comes to video games, your fingers want to touch as much as twitch and that two really is better than one.",Sci_Tech,nintendo new portable ds big change from game boy nintendo believe that when it come to video game your finger want to touch as much as twitch and that two really be well than one,35
Sparrow song illustrates memory. Sparrows can piece together a complete song from fragments - research that could help with understanding memory.,Sci_Tech,sparrow song illustrate memory sparrow can piece together complete song from fragment research that could help with understand memory,19
"Astros roar into share of wild-card lead. Despite being part of eight playoff teams, including five World Series appearances and two championships, Clemens isn #39;t sure he has ever experienced the kind of wave like the one the Astros are currently riding.",Sports,astros roar into share of wild card lead despite be part of eight playoff team include five world series appearance and two championship clemen isn sure he have ever experience the kind of wave like the one the astro be currently rid,42
"Hints of Unseen Moons in Saturn's Rings (SPACE.com). SPACE.com - A trio of new observations suggests several tiny, unseen moons orbit Saturn and control the shape of its rings.",Sci_Tech,hint of unseen moon in saturn ring space com space com trio of new observation suggest several tiny unseen moon orbit saturn and control the shape of its ring,29
"EU objects to Microsoft-Time Warner ContentGuard deal. BRUSSELS -- The European Commission has issued a formal set of objections to Microsoft Corp. and Time Warner Inc. taking control of ContentGuard Holdings Inc., a digital rights management (DRM) company, according to sources familiar with the case.",Sci_Tech,eu object to microsoft time warner contentguard deal brussels the european commission have issue formal set of objection to microsoft corp and time warner inc take control of contentguard holdings inc digital right management drm company accord to source familiar with the case,43
"Westwood passes upstart Bishops. MILTON -- It was a game of impersonations. The special teams units from both teams looked like Charlie Brown in the Peanuts comic strip, whiffing every time they tried to kick the ball. Westwood quarterback Jeff White ran like scrambling Michael Vick of the Atlanta Falcons, and the Archbishop Williams offense attempted an imitation of their Super Bowl foes. In ...",Sports,westwood pass upstart bishop milton it be game of impersonation the special team unit from both team look like charlie brown in the peanut comic strip whiffing every time they try to kick the ball westwood quarterback jeff white run like scramble michael vick of the atlanta falcon and the archbishop williams offense attempt an imitation of their super bowl foe in,62
"Utah firm acquiring KTAR in radio deal. Bonneville International Corp. of Salt Lake City will acquire KTAR, KKLT-FM (98.7) and KMVP-AM (860) from Emmis Communications Corp.",Business,utah firm acquire ktar in radio deal bonneville international corp of salt lake city will acquire ktar kklt fm and kmvp be from emmis communications corp,26
"Cubs Defeat Marlins, 5-1, in NL Showdown. MIAMI - Mark Prior allowed five hits in 7 2-3 innings to out-pitch Carl Pavano, and the Chicago Cubs moved one percentage point ahead of San Francisco atop the NL wild-card standings by beating the Florida Marlins 5-1 in the first game of a doubleheader Monday. Corey Patterson's two-run double in the second inning put the Cubs ahead to stay...",World,cub defeat marlin in nl showdown miami mark prior allow five hit in innings to out pitch carl pavano and the chicago cub move one percentage point ahead of san francisco atop the nl wild card standing by beat the florida marlin in the first game of doubleheader monday corey patterson two run double in the second inning put the cub ahead to stay,64
"Agassi tries to work major magic at age 34. Can Serena and Venus Williams, who missed the 2003 Open with injuries, re-emerge as the best in the women #39;s game? Venus hasn #39;t won a major in three years, Serena in 14 months.",Sports,agassi try to work major magic at age can serena and venus williams who miss the open with injury re emerge as the good in the woman game venus hasn win major in three year serena in month,38
UN probing alleged abuse by staff in DRC. The United Nations is investigating around 150 allegations of sexual abuse by UN civilian staff and soldiers in the Democratic Republic of Congo.,World,un probe allege abuse by staff in drc the united nations be investigate around allegation of sexual abuse by un civilian staff and soldier in the democratic republic of congo,30
"Matsushita To Launch World #39;s Largest Plasma TV. TOKYO, SEPT 6: Panasonic brand products maker Matsushita Electric Industrial Co said on Monday it will launch the world #39;s largest plasma display television, with a screen measuring 65-inches diagonally, on Oct 1 in Japan.",Sci_Tech,matsushita to launch world large plasma tv tokyo sept panasonic brand product maker matsushita electric industrial co say on monday it will launch the world large plasma display television with screen measure inch diagonally on oct in japan,38
"Spotlight shines on quarterbacks. They couldn't be more different. One is the prototype quarterback, seemingly built using the create-a-player function from a video game, standing tall in the pocket and firing laser beams across the field.",Sports,spotlight shin on quarterback they could not be more different one be the prototype quarterback seemingly build use the create player function from video game stand tall in the pocket and fire laser beam across the field,37
"Okocha Calls for Caution, As Allardyce Celebrates. First they beat Liverpool 1-0, then they were held to a 2-2 draw by Manchester United and last weekend, they ended Arsenal #39;s 100 Premiership winning record, when they held their nerves to pull a shock 2-2 draw at Highbury, home of Arsenal.",Sports,okocha call for caution as allardyce celebrate first they beat liverpool then they be hold to draw by manchester united and last weekend they end arsenal premiership win record when they hold their nerve to pull shock draw at highbury home of arsenal,43
"Myanmar #39;s military govt frees number two political prisoner: party &lt;b&gt;...&lt;/b&gt;. YANGON : Myanmar #39;s military government has freed the country #39;s second most prominent political prisoner, student democracy leader Min Ko Naing, an opposition party spokesman told AFP.",World,myanmar military govt free number two political prisoner party yangon myanmar military government have free the country second most prominent political prisoner student democracy leader min ko nae an opposition party spokesman tell afp,34
"Hewlett-Packard buys Synstar. IT services company Synstar plc, of Bracknell, England, has been acquired by Hewlett-Packard Co., of Palo Alto, for about $293.3 million.",Business,hewlett packard buy synstar it service company synstar plc of bracknell england have be acquire by hewlett packard co of palo alto for about million,25
Palestinian PM Qorei set for talks in Egypt (AFP). AFP - Palestinian premier Ahmed Qorei is to hold talks with senior officials in Egypt this week over Israel's planned pullout from the Gaza Strip and the possibility of a new truce by armed factions.,World,palestinian pm qorei set for talk in egypt afp afp palestinian premier ahmed qorei be to hold talk with senior official in egypt this week over israel plan pullout from the gaza strip and the possibility of new truce by armed faction,42
"Euro Disney Eyes $180 Mln 'Tower of Terror'-Source. PARIS (Reuters) - Euro Disney wants to use part of a planned rights issue to build a gut-wrenching new ""Tower of Terror"" ride that could cost some 150 million euros ( $182.2 million), sources familiar with the situation said.",Sci_Tech,euro disney eye mln tower of terror source paris reuters euro disney want to use part of plan right issue to build gut wrench new tower of terror ride that could cost some million euro million source familiar with the situation say,42
"Death toll rises to 66 from Chinese coal mine explosion as &lt;b&gt;...&lt;/b&gt;. Rescue workers pulled more bodies out of a mine shaft choked with toxic fumes Friday as the death toll in China #39;s worst mining accident this year rose to 66, with 82 workers missing and feared dead.",World,death toll rise to from chinese coal mine explosion as rescue worker pull more body out of mine shaft choke with toxic fume friday as the death toll in china bad mining accident this year rise to with worker miss and fear dead,43
Australia welcomes arrest of embassy bomb suspects. The Australian Government has welcomed the arrests of four key suspects in the bombing of Australia #39;s embassy in Jakarta in September.,World,australia welcome arrest of embassy bomb suspect the australian government have welcome the arrest of four key suspect in the bombing of australia embassy in jakarta in september,28
"Woolworths tops rival pubs offer. Retailer Woolworths raised its bid Thursday for Australian Leisure amp; Hospitality Group (ALH) by 15 percent to Aust. $1.11 billion ( $795 million), topping an offer by private equity firm Newbridge Capital.",Business,woolworth top rival pub offer retailer woolworth raise its bid thursday for australian leisure amp hospitality group alh by percent to aust billion million topping an offer by private equity firm newbridge capital,33
"He hurt me:. Carolina Panthers kickoff returner Rod Smart, aka quot;He Hate Me, quot; sprained his left knee Sunday on a kickoff return in the second quarter against the Atlanta Falcons.",Sports,he hurt carolina panther kickoff returner rod smart aka he hate sprain his left knee sunday on kickoff return in the second quarter against the atlanta falcon,27
Microsoft CEO: Hackers Getting Smarter (AP). AP - Microsoft Corp.'s chief executive believes it's naive to suggest the software giant can eliminate all security vulnerabilities in its various products even though engineers are trying hard to do so.,Sci_Tech,microsoft ceo hacker get smart microsoft corp chief executive believe it naive to suggest the software giant can eliminate all security vulnerability in its various product even though engineer be try hard to do so,35
"Citigroup to Revamp Japan Operations -WSJ. Citigroup is to revamp its Japanese private banking unit, creating a local committee to oversee operations, the Wall Street Journal reported.",Business,citigroup to revamp japan operation wsj citigroup be to revamp its japanese private banking unit create local committee to oversee operation the wall street journal report,26
"Life-or-Death Question: How Supernovas Happen. Lately, supernovas have become signal events in the life of the cosmos, as told by modern science.",Sci_Tech,life or death question how supernovas happen lately supernovas have become signal event in the life of the cosmos as tell by modern science,24
Roddick to Lead U.S. Against Spain in Davis Cup Final. NEW YORK (Reuters) - World number two Andy Roddick will lead the U.S. against Spain in the Davis Cup final next month.,Sports,roddick to lead against spain in davis cup final new york reuters world number two andy roddick will lead the against spain in the davis cup final next month,29
"Aid Flight Delayed After Plane Hits Cow (AP). AP - A Boeing 737 carrying aid for Tsunami victims hit a herd of cows as it landed early Tuesday in Indonesia's devastated Aceh province, forcing the airport to close and delaying relief flights, officials said.",World,aid flight delay after plane hit cow boeing carry aid for tsunami victim hit herd of cow as it land early tuesday in indonesia devastate aceh province force the airport to close and delay relief flight official say,38
Guantanamo terror hearing halted. A US federal court halts proceedings at Guantanamo Bay against a former driver for Osama Bin Laden.,World,guantanamo terror hearing halt us federal court halt proceeding at guantanamo bay against former driver for osama bin laden,19
"GAME 6: DETROIT 28, NY GIANTS 13. First score: Lions, on an 18-yard touchdown pass from quarterback Joey Harrington to wide receiver Roy Williams in the first quarter.",Sports,game detroit ny giants first score lion on an yard touchdown pass from quarterback joey harrington to wide receiver roy williams in the first quarter,25
"Federal Reserve opens meeting, tipped to raise rates. WASHINGTON (AFP) - US Federal Reserve policymakers met, poised to raise key interest rates to remove some of the cheap-money stimulus washing through the economy.",Business,federal reserve open meeting tip to raise rate washington afp us federal reserve policymaker meet poise to raise key interest rate to remove some of the cheap money stimulus wash through the economy,33
"Ants use odour, geometry: study. ANTS use angled signposts, using tiny scent markers, to find their way home or follow the path into the wilderness, according to a study published today.",Sci_Tech,ant use odour geometry study ant use angle signpost use tiny scent marker to find their way home or follow the path into the wilderness accord to study publish today,30
"EBay Offers #36;530 Million for Rest of S.Korean Arm (Reuters). Reuters - EBay Inc. offered about #36;530 million to buy the remainder of South Korean affiliate Internet Auction Co. Ltd. as it pushes deeper into Asia, saying key shareholders had accepted a 79 percent increase to an earlier offer.",Sci_Tech,ebay offer million for rest of korean arm reuters reuters ebay inc offer about million to buy the remainder of south korean affiliate internet auction co ltd as it push deeply into asia say key shareholder have accept percent increase to an early offer,44
EU judge considers impact of Microsoft dropouts. A European Union judge has summoned all sides for a closed meeting today to consider how to handle the decision by two major opponents of Microsoft to drop out of an antitrust case against the company.,Business,eu judge consider impact of microsoft dropout european union judge have summon all side for closed meeting today to consider how to handle the decision by two major opponent of microsoft to drop out of an antitrust case against the company,41
"Electronic Back-Seat Driver System to Be Tested. Australian scientists have invented an electronic driver #39;s assistant system, similar to the back-seat driver who forever points out road signs and warns against speeding.",Sci_Tech,electronic back seat driver system to be test australian scientist have invent an electronic driver assistant system similar to the back seat driver who forever point out road sign and warn against speed,33
Australian Football: Melbourne sidelined as Brisbane and Port &lt;b&gt;...&lt;/b&gt;. The Australian Football League Grand Final between Brisbane Lions and Port Adelaide on Saturday marks an epoch for Australia #39;s favorite spectator sport.,Sports,australian football melbourne sideline as brisbane and port the australian football league grand final between brisbane lion and port adelaide on saturday mark an epoch for australia favorite spectator sport,30
"Aziz briefs Pakistani officials. Prime Minister Shaukat Aziz is briefing top Pakistani officials of his talks with India #39;s premier on Kashmir. A meeting of the country #39;s national security council, comprising military and political leaders, is under way in the capital Islamabad.",World,aziz briefs pakistani official prime minister shaukat aziz be brief top pakistani official of his talk with india premier on kashmir meeting of the country national security council comprise military and political leader be under way in the capital islamabad,40
McDonald #39;s CEO says strategy unchanged. McDonald #39;s (MCD) newly appointed Chief Executive Jim Skinner said Friday that there would be no change in strategy at the fast-food chain and a recent physical showed he is in good health.,Business,mcdonald ceo say strategy unchanged mcdonald mcd newly appoint chief executive jim skinner say friday that there would be no change in strategy at the fast food chain and recent physical show he be in good health,37
"Guest Column Addressing Global Imbalances is Within the Realm of &lt;b&gt;...&lt;/b&gt;. THE global economy is slowly recovering, and with it hopes for a sustained period of economic growth in all regions. South Africa #39;s economic future is tied to that of the rest of the world and for this reason",Business,guest column address global imbalance be within the realm of the global economy be slowly recover and with it hop for sustained period of economic growth in all region south africa economic future be tie to that of the rest of the world and for this reason,47
"Premiership: Harry Redknapp quits Portsmouth. Nobody really expected Harry Redknapp to stay at Portsmouth Football Club for very much longer, but the announcement of his decision to resign today (November 24) is perhaps still a little surprising.",Sports,premiership harry redknapp quit portsmouth nobody really expect harry redknapp to stay at portsmouth football club for very much long but the announcement of his decision to resign today november be perhaps still little surprising,35
"Conn. Man Charged with Selling Secret Windows Code. NEW YORK (Reuters) - A Connecticut man was arrested on Tuesday on charges that he illegally sold a secret source code used for Microsoft Corp.'s Windows NT 4.0 and Windows 2000 programs, federal prosecutors said.",Sci_Tech,conn man charge with sell secret windows code new york reuters connecticut man be arrest on tuesday on charge that he illegally sell secret source code use for microsoft corp windows not and window program federal prosecutor say,38
Dell's second-quarter earnings meet expectations. CEO says firm saw no sales slowdown. Could results help calm waters after bad news from HP and Cisco?,Sci_Tech,dell second quarter earning meet expectation ceo say firm see no sale slowdown could result help calm water after bad news from hp and cisco,25
"Israel Kills 6 Palestinians in Gaza, W.Bank Raids. JABALYA, Gaza Strip (Reuters) - Israeli forces killed six Palestinians including three teenagers on Wednesday as they thrust deep into Gaza to quell rocket fire into Israel and raided two West Bank cities in search of wanted militants.",World,israel kill palestinians in gaza bank raids jabalya gaza strip reuters israeli force kill six palestinians include three teenager on wednesday as they thrust deep into gaza to quell rocket fire into israel and raid two west bank city in search of want militant,44
"JackBe's Technology Cuts to the Quick. Several years ago, two Mexican brothers took out credit card loans to start JackBe Corp., providing software that helps companies perform business over the Web more efficiently and securely.",Sci_Tech,jackbe technology cut to the quick several year ago two mexican brother take out credit card loan to start jackbe corp provide software that help company perform business over the web more efficiently and securely,35
"Computer Associates to Fire 800, Trim Product Line (Update3). Computer Associates International Inc., the software maker operating under government oversight after an accounting scandal, will fire 800 workers, or 5 percent of its employees, as the company trims its product line.",Business,computer associate to fire trim product line update computer associates international inc the software maker operate under government oversight after an accounting scandal will fire worker or percent of its employee as the company trim its product line,38
"Dozens killed in Baghdad car bomb. More than twenty five people have died after a car bomb exploded in a busy commercial area outside a restaurant in west Baghdad. Husayn al-Shammari, an Iraqi journalist, told Aljazeera: quot;A car bomb detonated",Sci_Tech,dozen kill in baghdad car bomb more than twenty five people have die after car bomb explode in busy commercial area outside restaurant in west baghdad husayn al shammari an iraqi journalist tell aljazeera car bomb detonate,37
"Fed having a change of space. Apparently the mammoth Federal Reserve building going up at 1801 Allen Parkway didn #39;t need to be quite so big after all. It turns out that a portion of the 300,000-square-foot property originally",Business,feed have change of space apparently the mammoth federal reserve building go up at allen parkway didn need to be quite so big after all it turn out that portion of the square foot property originally,36
Brazilian Soldier Wounded in Haiti Unrest. A Brazilian soldier with the UN peacekeeping force in Haiti was shot and wounded Saturday when peacekeepers and local police faced gunfire in a crackdown on armed gangs in the Haitian capital.,World,brazilian soldier wound in haiti unrest brazilian soldier with the un peacekeeping force in haiti be shoot and wound saturday when peacekeeper and local police face gunfire in crackdown on armed gang in the haitian capital,36
Ratings Lowest Ever for Open Men's Final (AP). AP - Roger Federer's dominant win over Lleyton Hewitt was the lowest-rated U.S. Open men's final ever.,Sports,rating lowest ever for open man final roger federer dominant win over lleyton hewitt be the lowest rat open man final ever,22
"Nets sign Lawrence Frank to 4-year contract extension. A day after signing his first long-term contract as an NBA head coach, Lawrence Frank wasn #39;t in a mood to celebrate. Between the joy of extending his childhood dream and the news conference to announce it",Sports,net sign lawrence frank to year contract extension day after sign his first long term contract as an nba head coach lawrence frank wasn in mood to celebrate between the joy of extend his childhood dream and the news conference to announce it,43
